GEO,LEG_FORM,INDIC_SB,NACE_R2\TIME	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Denmark,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	0.66	3.40	2.92	1.57	1.07	3.03	:
Germany (until 1990 former territory of the FRG),Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	1.39	1.99	1.68	2.26	-1.99	1.77	-0.66
Estonia,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	0.73	2.66	4.78	7.36	4.29 b	3.27	3.68
Ireland,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	5.05	-2.18	-2.34	-0.11	:	:	5.72
Greece,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	5.96 p
Spain,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-2.15	-1.76	-0.41	0.11	-0.72	0.12	0.01
France,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	3.27	3.11	3.33	2.38	27.34 b	4.38	4.31
Croatia,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	0.61	-2.70	3.93
Italy,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-0.04	2.95	3.80	0.55	3.46	-0.04	2.06
Cyprus,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	1.02	-1.48	1.84	-0.82	-4.41	-0.47	:
Latvia,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	1.07	3.44	10.02	9.59	5.93	5.32	4.49
Lithuania,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	5.71	4.68	5.91	10.97	-7.28	10.28	2.24
Luxembourg,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	4.10	3.85	3.90	2.80	3.86	4.40	2.52
Hungary,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	7.29	7.52	6.65	2.88	-0.87	0.08	0.58
Malta,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	1.26	2.90	-2.35	7.10 b	6.90
Netherlands,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	0.04	2.63	1.03	1.96	1.91	0.68
Austria,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	4.82	15.86 b	4.22	3.05	2.84	0.21	1.97	4.81 b	2.50	3.67 p
Poland,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	4.37	1.52	7.06	6.80	10.02	5.93	7.54
Portugal,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	0.02	3.93	2.15 b	-0.78	-1.82	-0.09	-1.99	-0.22	1.56	2.21
Romania,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-2.81	-9.64	-9.83	5.79	0.78	0.23	0.93
Slovenia,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	5.31	6.74	9.27	7.20	5.27	3.69	4.06	3.61	2.90	2.13
Slovakia,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	19.77	21.45	18.77	-6.59	7.50	7.58	12.82
Finland,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	2.59	1.56	2.17	2.13	6.00 b	2.66	1.25
Sweden,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	3.11	4.51	9.78	5.81	5.01	4.36	4.94
United Kingdom,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	-1.31	-3.83	2.23	3.94	6.20	7.65	8.47
Norway,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	1.75	-0.86	4.29	4.92	8.78	2.49	3.64
Switzerland,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	2.62 dp	2.95
Former Yugoslav Republic of Macedonia, the,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	1.48	1.02	-3.16	-2.16	-0.59	-1.54
Turkey,Limited liability enterprise,Net business population growth - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	1.06	0.01	1.50	3.66
European Union (aggregate changing according to the context),Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (28 countries),Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (27 countries),Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
Belgium,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	6.12 b	6.58 b	7.42	7.64	6.55	6.06	7.32	5.94 p
Bulgaria,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	30.33	26.81	18.51	22.38	25.19	23.91	23.76 p	25.97 p
Czech Republic,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	14.35	15.36	16.38	16.30	14.58	12.36	14.76 p	12.12 ep
Denmark,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	19.12	19.31	19.89	18.79	17.61	20.29 p	:
Germany (until 1990 former territory of the FRG),Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	12.10	12.35	11.90	11.68	10.64	10.65	9.79 p
Estonia,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	20.15	19.87	20.19	20.20	21.80	20.37 b	18.89	17.37 p
Ireland,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	12.95	16.24	12.84	14.12 ep	13.24 e	:	12.47 bep	10.49 ep
Greece,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	: p	6.09 p
Spain,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	13.01	12.11	11.39	11.52	12.21	11.81	11.87	11.66 ep
France,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	16.33	15.29	14.95	14.33	12.77	11.65 b	11.55	11.53
Croatia,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	18.28	20.82	17.69	17.35 p
Italy,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	15.02	12.36	12.51	12.90	12.56	14.17	14.60 p	15.75 ep
Cyprus,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	7.34	5.41	11.33	14.23	15.38	13.79	14.64 p	:
Latvia,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	24.15	24.79	22.74	29.93	29.44	27.98	22.45	19.60 ep
Lithuania,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	16.82	16.58	16.32	15.52	28.20	14.39	17.73 p	15.42 ep
Luxembourg,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	17.80	16.54	16.49	16.56	16.26	16.48	17.20	16.13 p
Hungary,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	24.12	23.05	23.43	23.17	20.99	17.30	17.42 p	17.17 ep
Malta,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	7.62	4.50	15.30	13.36	17.43 b	12.74 p
Netherlands,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	13.84 b	:	13.66	10.20	11.44	11.14	12.59	12.66	12.66 p
Austria,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	9.47	12.45 b	12.25	11.19	12.47	10.43	10.47	9.31 b	10.92 p	10.70 p
Poland,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	14.22	17.32	16.98	19.33	19.31	25.30	25.75 p	: p
Portugal,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	14.04	15.48	16.33 b	15.55	15.25	17.35	16.11	16.39	16.73 p	15.89 ep
Romania,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	25.18	27.64	22.96	19.64	23.19	21.70	26.54 p	19.71 ep
Slovenia,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	14.33	13.85	14.34	14.16	14.84	15.21	14.87	11.07 p
Slovakia,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	31.21 p	26.74	24.48	35.30	18.21	19.80	19.94 p	21.95 ep
Finland,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	13.44	12.77	12.99	:	13.02 b	11.39 b	11.66	11.07 p
Sweden,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	8.13	8.07	9.12	10.07	8.91	9.21	9.33	9.51 p
United Kingdom,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	26.94	25.93	22.65	22.79	23.44	25.09	24.72	26.66 p
Norway,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	9.63	9.92	7.99	7.96	9.84	11.62	10.11 p	9.23 p
Switzerland,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	: p	: p	: p	: p	: p	: p	: p	: dp	: dp	: p
Former Yugoslav Republic of Macedonia, the,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	:	:	21.20	25.68	21.16	20.50	18.49 p
Turkey,Limited liability enterprise,Business churn: birth rate + death rate - percentage,Business economy except activities of holding companies	:	:	:	12.94	:	:	13.97	15.50	15.92	: p
European Union (aggregate changing according to the context),Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (28 countries),Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (27 countries),Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
Belgium,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	1.50 b	1.39 b	1.37	1.52	1.87	2.85	3.08	1.35 p
Bulgaria,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	7.38	4.07	4.39	8.61	9.69	9.46	9.70 p	11.84 p
Czech Republic,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	5.80	4.83	5.89	5.74	5.79	4.73	6.94 p	4.24 ep
Denmark,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	10.00	9.08	8.86	9.00	8.69	9.37 p	:
Germany (until 1990 former territory of the FRG),Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	5.79	5.78	5.63	5.55	5.51	5.68	4.86 p
Estonia,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	9.53	9.83	8.65	7.54	8.72	8.57 b	8.01	6.94 p
Ireland,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	6.48	9.89	6.93	7.62 p	6.44	:	6.58 bp	3.29 p
Greece,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	: p	0.64 p
Spain,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	6.88	6.97	6.05	6.13	6.72	5.78	5.85	5.73 ep
France,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	6.06	6.23	5.86	5.63	5.04	3.89 b	3.86	3.87
Croatia,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	10.94	9.33	7.66	7.41 p
Italy,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	6.34	4.75	4.73	5.78	5.86	6.38	7.37 p	7.73 ep
Cyprus,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	2.67	3.01	6.90	9.45	9.22	8.34	: p	:
Latvia,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	10.55	12.58	7.58	9.63	11.59	11.65	7.33	6.01 ep
Lithuania,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	5.46	7.10	6.00	4.64	14.76	4.99	5.86 p	6.52 ep
Luxembourg,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	7.35	7.10	6.87	7.04	6.83	7.04	7.27	7.19 p
Hungary,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	8.81	8.80	9.35	8.98	10.07	8.20	9.35 p	8.78 ep
Malta,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	:	0.40	0.28	8.76	6.98	5.62 b	1.84 p
Netherlands,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	5.26	:	7.10	4.98	5.07	5.32	5.69	5.63	5.96 p
Austria,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	3.30	4.35 b	4.43	4.27	5.92	4.51	4.43	3.22 b	3.89 p	4.19 p
Poland,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	4.78	8.65	6.24	6.50	6.68	10.01	9.88 p	: p
Portugal,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	5.29	6.70	7.88 b	8.35	8.27	9.17	8.72	7.63	7.71 p	6.72 ep
Romania,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	10.39	18.08	14.19	8.71	11.27	9.39	13.48 p	8.36 ep
Slovenia,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	4.22	4.89	6.03	5.91	6.36	6.97	6.41	3.57 p
Slovakia,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	11.83 p	4.07	6.19	16.46	6.71	6.51	6.08 p	7.25 ep
Finland,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	4.99	6.01	5.80	:	5.92 b	5.16 b	5.05	5.27 p
Sweden,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	3.28	3.53	3.12	2.84	2.95	3.45	3.14	3.08 p
United Kingdom,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	12.34	15.21	11.04	9.97	10.19	9.33	9.06	10.38 p
Norway,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	2.80	3.20	2.93	2.39	2.19	3.06	2.99 p	2.23 p
Switzerland,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	: p	: p	: p	: p	: p	: p	: p	: dp	: dp	: p
Former Yugoslav Republic of Macedonia, the,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	11.16	10.71	9.33	15.94	11.89	10.61	8.89 p
Turkey,Limited liability enterprise,Death rate: number of enterprise deaths in the reference period (t) divided by the number of enterprises active in t - percentage,Business economy except activities of holding companies	:	:	:	5.93	:	:	7.87	7.70	6.97	: p
European Union (aggregate changing according to the context),Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (28 countries),Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
European Union (27 countries),Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	:	:
Belgium,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	0.26 b	0.27 b	0.26	0.31	0.39	0.54	0.59	: p
Bulgaria,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	3.22	0.98	2.09	2.23	2.27	2.21	2.46 p	: p
Czech Republic,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	0.82	0.78	0.88	0.86	0.82	0.68	0.77 p	: p
Denmark,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	0.25	0.55	0.18	0.25	0.29 p	: p	:
Germany (until 1990 former territory of the FRG),Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	: e	0.23 e	0.16 e	0.17 e	0.13 e	0.07 e	0.08 e	: p
Estonia,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	: c	: c	2.97	2.28	2.52	2.35 b	2.18	: p
Ireland,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	0.99	1.41	0.94	0.95 p	0.75	:	1.06 bp	: p
Greece,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	:	:	: p	: p
Spain,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	2.05	2.27	1.88	1.88	2.17	2.00	1.73	: p
France,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	4.28	4.63	4.26	4.13	3.31	1.01 b	1.20	1.03
Croatia,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	1.88	1.45	1.11	: p
Italy,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	1.33	0.80	0.48	0.75	0.80	0.75	0.80 p	: p
Cyprus,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	0.88	: c	1.64	2.44	2.25	1.66	: p	:
Latvia,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	3.11	3.99	2.10	2.67	3.45	3.59	2.43	: p
Lithuania,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	1.93	: c	1.70	: c	2.67	: c	: cp	: p
Luxembourg,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	1.04	: c	: c	1.37	1.27	1.24	1.30	: p
Hungary,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	4.64	3.89	4.19	3.39	4.27	3.06	3.56 p	: p
Malta,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	0.15	0.13	1.43	: c	1.52 b	: p
Netherlands,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	0.25	: c	0.27	0.19	0.19	0.21	0.25	0.22	: p
Austria,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	0.52	0.46 b	0.48	0.41	0.53	0.44	0.47	0.39 b	0.51 p	: p
Poland,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	1.13	0.92	0.60	0.90	1.08	1.18	1.28 p	: p
Portugal,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	: c	2.65	3.04 b	: c	3.47	: c	3.28	: c	: cp	: p
Romania,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	2.44	3.92	2.59	1.61	3.82	1.19	2.86 p	: p
Slovenia,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	0.44	: c	0.86	0.95	1.02	1.12	0.95	: p
Slovakia,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	3.76 p	2.18	: c	2.70	1.74	2.62	1.65 p	: p
Finland,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	0.28	0.41	0.31	:	0.90 b	0.43 b	0.32	: p
Sweden,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	0.52	0.78	0.61	0.60	0.81	0.71	0.58	: p
United Kingdom,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	2.54	3.34	2.76	2.43	2.49	: c	2.43	: p
Norway,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	0.24	0.29	0.24	0.13	0.13	0.23	0.10 p	: p
Switzerland,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	: p	: p	: p	: p	: p	: p	: p	: dp	: dp	: p
Former Yugoslav Republic of Macedonia, the,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	:	:	:	: p	: p	: p	: p
Turkey,Limited liability enterprise,Employment share of enterprise deaths: number of persons employed in the reference period (t) among enterprise deaths divided by the number of persons employed in t among the stock of active enterprises in t - percentage,Business economy except activities of holding companies	:	:	:	2.55	:	:	1.10	2.18	1.21	: p

